ID,Scanner,Unit,Raw_material,Class,Blank,Technology,Cortex,Preservation,Volume,Surface,Length,Width,Thickness,Core_classification
RF.b_5281,Micro-CT,A2,Maiolica,Blank,Bladelet,Optimal,0%,Complete,208.6555786,366.8996079,24.5,8.3,2.1,NA
RF.b_5283,Micro-CT,A2,Scaglia.Rossa,Blank,Bladelet,Semi-cortical,33-66%,Complete,303.3772583,433.1843094,30.5,6.1,2.5,NA
RF.b_5284,Micro-CT,A2,Undetermined,Blank,Bladelet,Maintenance,33-66%,Complete,687.8583984,736.6262127,33,11.3,3.8,NA
RF.b_5285,Micro-CT,A2,Maiolica,Blank,Bladelet,Maintenance,1-33%,Complete,1058.846802,858.5475833,37.1,11.5,5,NA
RF.b_5290,Micro-CT,A2,Maiolica,Blank,Blade,Maintenance,0%,Complete,1084.817505,1229.466468,46.1,15.7,2.7,NA
RF.b_5296,Micro-CT,A2,Eocenic,Blank,Bladelet,Optimal,0%,Complete,332.2600403,518.6509266,37,7.8,2.7,NA
RF.b_5297,Micro-CT,A2,Scaglia.Variegata,Blank,Blade,Semi-cortical,1-33%,Complete,759.104126,1008.088138,47,12.1,2.7,NA
RF.b_5298,Artec.Spider,A2,Maiolica,Blank,Blade,Maintenance,1-33%,Complete,2485.851563,2016.673459,51.9,21.1,4.8,NA
RF.b_5299,Micro-CT,A2,Maiolica,Blank,Bladelet,Optimal,0%,Complete,291.8830566,493.6287077,32.6,8.2,2.3,NA
RF.b_5300,Micro-CT,A2,Scaglia.Rossa,Blank,Bladelet,Optimal,0%,Complete,484.7982788,657.088443,40.5,8.4,2.6,NA
RF.b_5301,Micro-CT,A2,Maiolica,Blank,Bladelet,Optimal,0%,Complete,49.46025848,123.7075195,15,4.8,1.4,NA
RF.b_5302,Artec.Spider,A2,Maiolica,Blank,Blade,Semi-cortical,33-66%,Complete,6062.045898,3439.184628,88.6,25,10.4,NA
RF.b_5308,Micro-CT,A2,Maiolica,Blank,Blade,Maintenance,0%,Complete,1001.480591,1071.86057,39.5,17.7,3.2,NA
RF.b_5309,Micro-CT,A2,Maiolica,Blank,Bladelet,Optimal,0%,Complete,134.5565796,270.3804456,24.5,7.1,1.6,NA
RF.b_531,Micro-CT,A2,Maiolica,Blank,Bladelet,Optimal,0%,Proximal,379.1433716,586.4249484,31.9,10.8,1.9,NA
RF.b_5311,Micro-CT,A2,Maiolica,Blank,Bladelet,Optimal,0%,Complete,277.8546143,550.2174616,34.5,8.7,1.5,NA
RF.b_5313,Artec.Spider,A2,Scaglia.Rossa,Blank,Blade,Semi-cortical,33-66%,Complete,1513.35791,1386.694659,45.5,18.8,4.5,NA
RF.b_5318,Micro-CT,A2,Maiolica,Blank,Bladelet,Optimal,0%,Complete,225.442276,394.1540733,26.8,8.7,2.4,NA
RF.b_5320,Micro-CT,A2,Maiolica,Blank,Bladelet,Optimal,0%,Complete,273.802124,461.3246088,34.6,6.9,1.7,NA
RF.b_5321,Micro-CT,A2,Maiolica,Blank,Bladelet,Maintenance,0%,Complete,487.0284729,723.0770126,35.2,11.3,2.5,NA
RF.b_5325,Artec.Spider,A2,Maiolica,Blank,Blade,Maintenance,1-33%,Complete,985.9850464,1255.650106,49.6,14.6,3.8,NA
RF.b_5331,Micro-CT,A2,Maiolica,Blank,Blade,Semi-cortical,1-33%,Complete,934.1105957,865.4337577,33.8,14.2,4.6,NA
RF.b_5334,Micro-CT,A2,Maiolica,Blank,Blade,Maintenance,0%,Complete,923.3621216,872.1924229,37.1,14.6,5.4,NA
RF.b_5337,Micro-CT,A2,Scaglia.Rossa,Blank,Blade,Optimal,0%,Complete,822.1379395,972.4481281,40,16,3,NA
RF.b_5338,Micro-CT,A2,Scaglia.Variegata,Blank,Blade,Maintenance,33-66%,Complete,1509.844849,1138.53207,38.6,13.6,4.2,NA
RF.b_5342,Artec.Spider,A2,Maiolica,Blank,Blade,Optimal,0%,Complete,1766.453125,1697.849247,51.7,20,5,NA
RF.b_5343,Micro-CT,A2,Scaglia.Variegata,Blank,Blade,Optimal,0%,Complete,741.1288452,975.8595999,37.5,15.2,2.7,NA
RF.b_5344,Micro-CT,A2,Maiolica,Blank,Blade,Optimal,0%,Complete,512.414856,674.7914623,28.6,13.5,2.3,NA
RF.b_5345,Artec.Spider,A2,Scaglia.Rossa,Blank,Blade,Semi-cortical,1-33%,Complete,2990.190186,1749.829331,47.6,16.1,9,NA
RF.b_5348,Micro-CT,A2,Maiolica,Blank,Bladelet,Optimal,0%,Complete,202.7810211,330.9424028,23,7.6,2.3,NA
RF.b_5349,Micro-CT,A2,Scaglia.Variegata,Blank,Bladelet,Semi-cortical,1-33%,Complete,159.9949799,321.537974,27.5,6,1.5,NA
RF.b_5350,Micro-CT,A2,Scaglia.Variegata,Blank,Bladelet,Optimal,0%,Complete,59.64554977,135.6809064,15.7,4.9,1.6,NA
RF.b_5351,Micro-CT,A2,Scaglia.Variegata,Blank,Bladelet,Maintenance,1-33%,Complete,165.872757,313.7901319,27.8,5.8,1.9,NA
RF.b_5353,Micro-CT,A2,Scaglia.Variegata,Blank,Blade,Maintenance,0%,Complete,1031.631836,1086.668417,46,13,5,NA
RF.b_5354,Micro-CT,A2,Maiolica,Blank,Blade,Optimal,0%,Complete,502.2204285,727.7334781,36,12.4,2,NA
RF.b_5356,Micro-CT,A2,Scaglia.Variegata,Blank,Blade,Optimal,0%,Complete,1128.710327,1136.44246,47.3,13.6,3.4,NA
RF.b_5357,Micro-CT,A2,Maiolica,Blank,Blade,Optimal,0%,Complete,960.7306519,932.976258,34.6,15,3.6,NA
RF.b_5358,Micro-CT,A2,Scaglia.Variegata,Blank,Bladelet,Optimal,0%,Complete,134.0289307,373.2708476,26.5,8.1,1.2,NA
RF.b_5359,Micro-CT,A2,Maiolica,Blank,Bladelet,Optimal,0%,Complete,58.40380096,154.014659,18,5,1.3,NA
RF.b_5361,Micro-CT,A2,Maiolica,Blank,Blade,Initialization,66-99%,Complete,1408.762817,1086.898403,43,13.6,6.8,NA
RF.b_5366,Micro-CT,A2,Scaglia.Variegata,Blank,Blade,Optimal,0%,Complete,938.4008179,1189.192465,47.5,14.5,2.9,NA
